@relation Features-weka.filters.unsupervised.attribute.Remove-R2-4

@attribute label {False,True}
@attribute Cosine numeric

@data
False,0.345857
False,0.160128
False,0
False,0.099015
True,0.125
True,0.208514
False,0
False,0.444444
False,0.087706
True,0.285831
False,0
True,0
True,0.334077
True,0.612056
True,0
False,0.356348
False,0.045644
True,0.263117
False,0.330049
True,0.166667
False,0.190693
True,0.547723
False,0
False,0
True,0.511478
False,0
False,0.206835
True,0.30657
True,0
False,0.171499
False,0
True,0.258199
True,0.377964
True,0.258199
False,0
True,0.288675
True,0.251976
True,0.251976
False,0
True,0
False,0
True,0
False,0
True,0.149071
True,0.365148
False,0
True,0.361814
True,0.272166
True,0.158114
True,0
False,0.327327
True,0.204124
True,0.659912
True,0.385872
True,0
False,0
True,0.19245
False,0
True,0.182574
True,0.490716
True,0
False,0
True,0.272727
True,0.353553
False,0.182574
False,0.163299
False,0
False,0
True,0.316228
True,0.272727
True,0
False,0.166378
False,0
True,0.452267
False,0
False,0.299392
True,0.308607
False,0
False,0
True,0.469042
True,0.471405
False,0
False,0.178174
True,0.333333
False,0.158114
False,0
False,0.209657
False,0
False,0
True,0.187867
False,0.246183
True,0.46291
True,0
False,0.190693
True,0.57735
False,0
False,0.182574
False,0
True,0.711512
True,0.572656
True,0.408248
False,0.129099
True,0.377964
True,0.51031
False,0.169031
True,0.457604
True,0
False,0.084515
False,0.158114
True,0.142857
False,0.162698
False,0.565685
True,0.06742
False,0
False,0.196116
True,0.327327
False,0
False,0.111456
False,0
False,0.067267
True,0.197386
False,0.074125
False,0
False,0.204124
True,0.169031
False,0.353553
False,0.048113
False,0
False,0.176777
False,0.182574
False,0
True,0.57735
True,0.421637
True,0.348155
True,0.353553
True,0.813489
False,0.171499
False,0
False,0.125988
False,0
True,0.251976
False,0.319801
True,0.143019
False,0
False,0.105409
True,0
True,0.5
False,0.182574
True,0
True,0
False,0
False,0
True,0.436436
False,0.095346
True,0.350823
True,0.53033
False,0
True,0.451848
True,0.588348
False,0.080845
True,0.251976
False,0.059235
False,0.063628
False,0.108465
True,0.292509
False,0.2
True,0
True,0.288675
False,0.129099
True,0.527645
False,0
True,0
True,0.5
False,0.182574
True,0.31427
True,0.09759
False,0.447214
False,0
True,0.172133
True,0
False,0
True,0.20702
False,0.182574
True,0.19518
False,0.098058
True,0.333333
True,0.13484
False,0.141421
True,0.288675
True,0
True,0.385758
True,0.589256
True,0.344265
False,0.074536
True,0.612372
False,0
False,0.129099
False,0.363803
True,0
False,0.235702
True,0
True,0.323381
False,0
True,0.109109
False,0
False,0.222222
True,0
False,0
True,0.667424
False,0.174964
False,0.081044
False,0.261116
True,0.319801
False,0.109109
False,0.536875
False,0
True,0.3849
True,0.645497
False,0.239046
True,0.359092
True,0.102598
False,0
True,0
True,0.373101
False,0
False,0.109109
False,0.113961
False,0
False,0.166667
True,0.160128
True,0
True,0.358569
True,0.30429
True,0.589256
False,0.519701
True,0
False,0.161165
True,0.790569
True,0.307794
True,0.285714
True,0.424264
False,0.25
False,0.25
True,0.339032
True,0.204124
False,0
False,0.136083
True,0.117851
True,0.090909
False,0.376867
True,0.286039
True,0.214423
False,0
True,0.534522
False,0
True,0.141421
False,0.119523
False,0
False,0
False,0.418121
False,0
False,0
True,0
True,0.246183
True,0.235702
False,0
False,0
True,0.261116
True,0.1066
False,0
True,0.35007
True,0.270369
False,0
True,0.133631
True,0.084515
True,0.209657
True,0.676123
False,0
False,0
False,0
False,0
False,0
True,0.522233
False,0
True,0
True,0.074536
True,0.171499
False,0.088388
False,0
True,0.762713
True,0.358057
False,0
True,0.666667
False,0
False,0.125988
False,0
True,0.124035
True,0.325396
False,0
False,0.269069
True,0.402015
True,0.201008
False,0.056614
False,0.303046
True,0.285714
False,0
True,0
False,0
False,0.09167
False,0
False,0
True,0.367884
True,0.369274
False,0.269191
True,0
False,0.429669
True,0
False,0
True,0.264906
False,0
True,0.67082
True,0.30317
False,0.267261
False,0.100504
False,0.125988
False,0.152944
True,0.492366
False,0
False,0.606339
False,0.119523
False,0
False,0
False,0.136083
False,0.316228
True,0.385758
False,0
True,0.13484
True,0.149071
False,0.078567
True,0.178174
False,0.319801
False,0
True,0.319801
True,0.284268
True,0.130744
True,0.226134
False,0.1875
True,0.666667
False,0
True,0.13159
False,0.100504
True,0.222222
False,0.08165
False,0.262071
True,0
True,0.353553
True,0.288675
False,0.102062
False,0.188982
True,0.319505
True,0.436436
True,0.125739
False,0
False,0.23355
True,0.375
True,0.353553
True,0.455842
True,0.372678
True,0.316228
False,0.193649
False,0.421117
False,0
True,0.144338
False,0.078567
False,0.182574
True,0.080582
False,0.223607
True,0.334497
True,0.408248
False,0
True,0.707107
True,0.070711
False,0
True,0.213201
False,0.161165
False,0.095346
False,0.606339
True,0.125988
True,0.784293
True,0.119523
False,0.153393
False,0
False,0.078567
False,0.33541
False,0
False,0.182574
False,0
False,0.094491
False,0.164957
True,0.149071
True,0.507093
False,0
False,0.150756
True,0.104828
True,0.341882
True,0
True,0.754829
False,0
False,0.099015
True,0.489898
True,0.625
True,0.066227
True,0.381385
False,0
False,0
True,0.204124
False,0
True,0.187317
True,0.105409
False,0
True,0.306186
True,0.286039
False,0.1066
True,0.089087
False,0.113961
True,0.306186
True,0.306786
True,0.673575
True,0.46291
False,0.242536
False,0.102062
True,0.210819
False,0.365148
False,0.235702
False,0
True,0.144338
False,0.346688
False,0.455842
False,0
True,0.288675
True,0.131306
False,0
True,0.416025
True,0
True,0.308607
True,0.783349
False,0.129099
True,0.852803
True,0.129099
False,0.071429
False,0
False,0.144338
False,0
True,0.490653
True,0
True,0.300123
False,0
True,0
False,0.228665
False,0.447214
False,0
False,0.095346
False,0
False,0.282843
True,0.597614
False,0.158114
True,0.333333
False,0.109109
True,0
True,0.339683
False,0
False,0.210819
True,0.188982
True,0.507093
True,1
True,0.319801
True,0.612372
False,0.174078
True,0.13484
False,0
True,0.476731
False,0.144338
True,0.471405
False,0
False,0
False,0.111803
True,0.21693
True,0.169031
True,0.316228
True,0.100504
False,0.4
True,0.34641
False,0
True,0.547723
True,0.178174
False,0
False,0
False,0.49099
True,0.059131
False,0.133631
True,0.51031
True,0.109109
False,0.231455
True,0.123091
True,0.279751
False,0
True,0.18334
False,0
True,0.285714
False,0.219382
True,0.508475
False,0.182574
True,0.157243
False,0
False,0
False,0.204124
False,0.236433
True,0
False,0
True,0.117851
False,0.06455
True,0.428571
False,0.170251
True,0.237171
True,0.591608
False,0
True,0.376889
True,0.258199
False,0.096225
False,0.098058
True,0.212132
True,0
False,0
False,0.369274
True,0.8
True,0
True,0.433013
False,0.181818
True,0.19518
False,0
True,0.545455
True,0.288675
False,0.408248
False,0
True,0.089087
False,0
False,0
False,0
True,0.150756
True,0
True,0.273861
True,0.332182
True,0.5
False,0
True,0.377964
False,0.102062
False,0.144338
True,0.06742
False,0.474342
False,0.273861
True,0.435194
True,0.272727
True,0.389249
False,0.327805
True,0.39036
False,0
True,0.474342
True,0.372678
False,0
True,0.476731
True,0.531085
False,0
False,0.123091
True,0.46225
False,0
False,0.117851
True,0.076696
True,0.730297
False,0
False,0
False,0
False,0.075378
False,0.239046
False,0.125
False,0.059761
True,0
True,0.365148
True,0.57735
True,0.273861
True,0.094491
True,0.144338
False,0.066227
True,0.41367
False,0.074536
True,0.284268
True,0.569803
False,0
False,0.158114
False,0.125245
True,0.710047
False,0.119523
False,0.154303
True,0.480384
True,0.549125
True,0.26968
True,0.213201
False,0
True,0.301511
False,0.338062
True,0.39036
True,0.213201
True,0
True,0.60678
True,0.095346
False,0
True,0.083624
False,0.387298
False,0.119523
True,0.471405
False,0.209657
True,0.737711
False,0
False,0.257513
False,0.138013
True,0.118033
False,0.152894
True,0.755929
True,0.171499
True,0.13484
True,0.429064
False,0
True,0.314485
False,0.251976
False,0.175412
False,0.396059
True,0.175412
False,0
False,0.242536
True,0.381385
True,0.182574
True,0.13484
